Rank,Model,R²,Train_R²,Overfit_Gap,RMSE,MAE,MAPE (%)
1,Ridge Regression,0.819936461350119,0.7678896327598168,-0.052046828590302185,8.983837444924731,6.043416039030151,10.769529841724058
2,Linear Regression,0.8193116105174132,0.7679394718269098,-0.05137213869050339,8.999411660514353,6.060538016384446,10.828033107237122
3,Lasso Regression,0.8032248055661222,0.749853611875906,-0.053371193690216145,9.391482851825579,6.546578726591799,12.755587386914238
4,LightGBM,0.7899730065840576,0.8831958277302251,0.09322282114616753,9.70256481179965,6.895070914891078,12.46870118870968
5,Random Forest,0.7855412929112914,0.9420775947720681,0.15653630186077672,9.804395827422663,7.078466497588454,13.3503985132884
6,ElasticNet,0.7748603911429593,0.7103911440621393,-0.06446924708082002,10.045578421906553,7.552128218518313,16.304939728896002
7,Gradient Boosting,0.7671656091277738,0.9725495648710103,0.20538395574323653,10.215804162993024,7.20816878395357,13.340479681516468
8,XGBoost,0.7329815030097961,0.9956238865852356,0.26264238357543945,10.940058643246653,7.845510482788086,14.331239461898804
9,Support Vector Regression,0.6160916917890407,0.5469577712779498,-0.06913392051109091,13.117852707923122,9.960882623324817,21.344377420310106
10,K-Nearest Neighbors,0.6034049490216424,0.6564316644712795,0.05302671544963711,13.3328391575088,10.157,22.046538215205423
11,Decision Tree,0.574404664754458,0.9461784053587754,0.37177374060431745,13.811709151702413,9.515549843973231,18.004742032029004
12,AdaBoost,0.43814617123552946,0.5258000828829495,0.08765391164742009,15.869405850858646,13.98541064712597,33.26884270244227
